tns_name,previous_name,repeater_name,snr_fitb,dm_fitb,dm_fitb_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes
FRB20181018A,-9999,-9999,12.9,1129.45,0.09,0.5,0.4,-9999,6,3,-9999
FRB20181018C,-9999,-9999,41.7,411.193,0.002,2,1,-9999,3,1,-9999
FRB20181019A,-9999,FRB20180916B,27.8,348.78,0.07,0.8,0.4,-9999,10,3,-9999
FRB20181019A,-9999,FRB20180916B,27.8,348.78,0.07,0.8,0.4,-9999,10,3,-9999
FRB20181019B,-9999,-9999,10.9,725.18,0.01,0.7,0.5,-9999,3,1,-9999
FRB20181019C,-9999,-9999,16.2,501.636,0.004,1.2,0.8,-9999,2,1,-9999
FRB20181020A,-9999,-9999,12.2,1112.47,0.03,0.8,0.6,-9999,5,3,-9999
FRB20181022C,-9999,-9999,14.2,528.47,0.02,0.9,0.9,-9999,3,2,-9999
FRB20181022D,-9999,-9999,52.1,514.3343,0.0009,3,1,-9999,6,3,-9999
FRB20181022E,-9999,-9999,18.8,285.99,0.01,0.7,0.3,-9999,2.1,0.8,-9999
FRB20181025A,-9999,-9999,20.8,592.564,0.004,1.5,0.6,-9999,3,1,-9999
FRB20181027A,-9999,-9999,22.3,727.744,0.006,5,4,-9999,20,10,-9999
FRB20181028A,-9999,FRB20180814A,98.4,189.106,0.006,1.3,0.6,-9999,23,7,-9999
FRB20181028A,-9999,FRB20180814A,98.4,189.106,0.006,1.3,0.6,-9999,23,7,-9999
FRB20181028A,-9999,FRB20180814A,98.4,189.106,0.006,1.3,0.6,-9999,23,7,-9999
FRB20181028A,-9999,FRB20180814A,98.4,189.106,0.006,1.3,0.6,-9999,23,7,-9999
FRB20181028A,-9999,FRB20180814A,98.4,189.106,0.006,1.3,0.6,-9999,23,7,-9999
FRB20181030C,-9999,-9999,17,668.76,0.006,2,1,-9999,6,4,-9999
FRB20181030A,181030.J1054+73,FRB20181030A,10.8,103.396,0.006,4,4,-9999,8,6,-9999
FRB20181030B,-9999,FRB20181030A,32.9,103.643,0.005,2,2,-9999,7,4,-9999
FRB20181030D,-9999,-9999,29.2,289.442,0.003,2.7,0.9,-9999,6,2,-9999
FRB20181030E,-9999,-9999,37.7,159.69,0.004,2,2,-9999,6,4,-9999
FRB20181101A,-9999,-9999,41.2,1472.68,0.06,0.5,0.3,-9999,11,5,-9999
FRB20181102A,-9999,-9999,11.9,414.465,0.009,1.5,0.5,-9999,2.5,0.9,-9999
FRB20181104A,-9999,FRB20180916B,53.9,349.439,0.009,1.5,0.4,-9999,5,1,-9999
