frb_name,telescope,SNR,Peak Flux (Jy),Luminosity Distance (Gpc),Redshift,DM,width (ms),fluence (Jy ms)
FRB131104,parkes,30,1.12,3.5,0.59,779,2.08,2.75
FRB140514,parkes,16,0.471,2.46,0.44,562.7,2.8,1.32
FRB150215,parkes,19,0.7,3.32,0.57,1105.6,2.88,2.02
FRB150418,parkes,39,2.2,2.79,0.49,776.2,0.8,1.76
FRB150610,parkes,18,0.7,8.41,1.2,1593.9,2,1.30
FRB150807,parkes,0,128,0.94,0.19,266.5,0.35,44.80
FRB151206,parkes,10,0.3,11.09,1.5,1909.8,3,0.90
FRB151230,parkes,17,0.42,5.08,0.8,960.4,4.4,1.90
FRB160102,parkes,16,0.5,16.8,2.1,2596.1,3.4,1.80
FRB171209,parkes,40,1.48,11.73,1.57,1457.4,2.5,3.70
FRB180309,parkes,411,27.6,0.92,0.19,263.42,0.475,13.12
FRB180311,parkes,11.5,0.15,15.82,2,1570.9,13.4,2.10
FRB180714,parkes,22,0.6,12.01,1.6,1467.92,2.9,1.85
