"frb_name","utc","telescope","rop_receiver","rop_backend","rop_beam","rop_beam_semi_major_axis","rop_beam_semi_minor_axis","rop_beam_rotation_angle","rop_raj","rop_decj","rop_gl","rop_gb","rop_sampling_time","rop_bandwidth","rop_centre_frequency","rop_npol","rop_bits_per_sample","rop_gain","rop_tsys","rop_mw_dm_limit","rop_galactic_electron_model","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_dm_index","rmp_scattering_index","rmp_scattering","rmp_scattering_model","rmp_scattering_timescale","rmp_linear_poln_frac","rmp_circular_poln_frac","rmp_spectral_index","rmp_rm","rmp_redshift_host","rmp_dispersion_smearing"
"FRB160608","2016/06/08 03:53:01.088","UTMOST","","","208","252","0.175","0","07:36:42","-40:47:52","254.11","-9.54","0.65536","16","843","1","8","3","400","238.3","NE2001","682&plusmn7","9","12","4.3","null","null","null","null","null","null","null","null","null","null","null"
"FRB160410","2016/04/10 08:33:39.680","UTMOST","","","85","84","0.041","0","08:41:25","06:05:05","220.36","27.19","0.65536","16","843","1","8","3","400","57.7","NE2001","278&plusmn3","4","13","7","null","null","null","null","null","null","null","null","null","null","null"
"FRB160317","2016/03/17 09:00:36.530","UTMOST","","","212","84","0.041","0","07:53:47","-29:36:31","246.05","-0.99","0.65536","16","843","1","8","3","400","319.6","NE2001","1165&plusmn11","21","13","3","null","null","null","null","null","null","null","null","null","null","null"
"FRB160206","2016/02/06 10:26:50.000","Pushchino","null","null","null","null","null","null","01:01:00","+41:37:48","124.848","-21.206","100","2.5","111","null","null","null","null","69.1","NE2001","1262&plusmn5","1590","7.9","0.26","null","null","null","null","null","null","null","null","null","null","null"
"FRB160102","2016/01/02 08:28:39.374","parkes","MB20","BPSR","13","7.5","7.5","0","22:38:49","-30:10:50","18.9","-60.8","0.064","338.381","1352","2","2","0.581","28","13","YMW16","2596.1&plusmn0.3","3.4","16","0.5","2&plusmn0.007","null","4&plusmn1","one-sided exponential at 1GHz","null","0.84&plusmn0.15","30&plusmn11","null","-220.6&plusmn6.4","null","null"
"FRB151230","2015/12/30 16:15:46.525","parkes","MB20","BPSR","4","7.5","7.5","0","09:40:50","-03:27:05","239","34.8","0.064","338.381","1352","2","2","0.69","28","38","YMW16","960.4&plusmn0.5","4.4","17","0.42","2&plusmn0.03","null","18&plusmn6","one-sided exponential at 1GHz","null","0.35&plusmn0.13","6&plusmn11","null","null","null","null"
"FRB151206","2015/12/06 06:17:52.778","parkes","MB20","BPSR","3","7.5","7.5","0","19:21:25","-04:07:54","32.6","-8.5","0.064","338.381","1352","2","2","0.69","28","160","YMW16","1909.8&plusmn0.6","3","10","0.3","null","null","11&plusmn2","one-sided exponential at 1GHz","null","null","null","null","null","null","null"
"FRB151125","2015/11/25 15:42:36.000","Pushchino","null","null","null","null","null","null","01:31:00","+30:58:48","132.838","-31.129","100","2.5","111","null","null","null","null","50.2","NE2001","273&plusmn4","1680","8.5","0.54","null","null","null","null","null","null","null","null","null","null","null"
"FRB151018","2015/10/18 01:05:48.000","Pushchino","","","null","15","15","0","05:21:00","33:06:00","173.6","-2.15","100","2.5","111","null","null","null","null","275","YMW16","570&plusmn5","2500","6.2","1.4","null","null","null","null","null","null","null","null","null","null","null"
"FRB150807","2015/08/07 17:53:55.830","parkes","MB20","BPSR","5","7.5","7.5","0","22:42:31","-55:04:42","333.892","-53.5959","0.064","338.281","1352","2","2","0.69","28","36.9","NE2001","266.5&plusmn0.1","0.35","0","128","null","null","null","null","null","0.8&plusmn0.01","null","-7&plusmn2","12&plusmn0.7","null","null"
"FRB150610","2015/06/10 05:26:59.396","parkes","MB20","BPSR","2","7.5","7.5","0","10:44:26","-40:05:23","278","16.5","0.064","338.381","1352","2","2","0.69","28","122","YMW16","1593.9&plusmn0.6","2","18","0.7","2&plusmn0.008","null","3&plusmn0.9","one-sided exponential at 1GHz","null","null","null","null","null","null","null"
"FRB150418","2015/04/18 04:29:06.657","parkes","MB20","BPSR","4","7.5","7.5","0","07:16:35","-19:00:40","232.665","-3.2348","0.064","338.281","1352","2","2","0.69","28","188.5","NE2001","776.2&plusmn0.5","0.8","39","2.2","2&plusmn0.001","null","null","null","null","0.085&plusmn0.015","0&plusmn4.5","null","36&plusmn52","null","null"
"FRB150215","2015/02/15 20:41:41.714","parkes","MB20","BPSR","13","7.5","7.5","0","18:17:27","-04:54:15","24.6628","5.28092","0.064","338.281","1352","2","2","0.581","28","427.2","NE2001","1105.6&plusmn0.8","2.88","19","0.7","2.001&plusmn0.002","null","null","null","null","0.43&plusmn0.05","3&plusmn1","null","1.5&plusmn10.5","null","null"
"FRB141216","2014/12/16 13:03:24.000","Pushchino","null","null","null","null","null","null","00:14:00","+41:38:24","115.467","-20.688","100","2.5","111","null","null","null","null","69.5","NE2001","545&plusmn5","870","7.6","0.23","null","null","null","null","null","null","null","null","null","null","null"
"FRB141113","2014/11/13 07:42:55.220","arecibo","ALFA","Mock spectrometers","4","1.75","1.75","0","06:13:00.1","18:47:11.2","191.9","0.36","0.0655","322.6","1375","2","4","8.2","30","188","NE2001","400.3","2","8.4","0.039","null","null","null","null","null","null","null","null","null","null","null"
"FRB140514","2014/05/14 17:14:11.060","parkes","MB20","BPSR","1","7.5","7.5","0","22:34:06","-12:18:46","50.8413","-54.612","0.064","338.281","1352","2","2","0.735","28","34.9","NE2001","562.7&plusmn0.6","2.8","16","0.471","2&plusmn0.004","null","5.4&plusmn0.1","One-sided exponential","null","0&plusmn0.1","21&plusmn7","null","null","null","null"
"FRB140212","2014/02/12 10:31:14.000","Pushchino","null","null","null","null","null","null","01:31:00","+30:32:24","132.93","-31.562","100","2.5","111","null","null","null","null","49.8","NE2001","910&plusmn4","390","9.2","0.26","null","null","null","null","null","null","null","null","null","null","null"
"FRB131104","2013/11/04 18:04:11.200","parkes","MB20","BPSR","5","7.5","7.5","0","06:44:10","-51:16:40","260.55","-21.9253","0.064","338.281","1352","2","2","0.69","28","71.1","NE2001","779&plusmn1","2.08","30","1.12","null","-4.4&plusmn1.8","15&plusmn0.8","One-sided exponential","null","null","null","null","null","null","null"
"FRB131030","2013/10/30 16:13:15.000","Pushchino","null","null","null","null","null","null","00:25:00","+39:58:48","117.449","-22.609","100","2.5","111","null","null","null","null","64.4","NE2001","203&plusmn4","530","10.1","0.24","null","null","null","null","null","null","null","null","null","null","null"
"FRB130729","2013/07/29 09:01:51.190","parkes","MB20","BPSR","10","7.5","7.5","0","13:41:21","-05:59:43","324.788","54.7446","0.064","338.281","1352","2","2","0.581","28","31","NE2001","861&plusmn2","15.61","14","0.22","null","null","23&plusmn2","One-sided exponential","null","null","null","null","null","null","null"
"FRB130628","2013/06/28 03:58:00.178","parkes","MB20","BPSR","5","7.5","7.5","0","09:03:02","03:26:16","225.955","30.6556","0.064","338.281","1352","2","2","0.69","28","52.58","NE2001","469.88&plusmn0.01","0.64","29","1.91","null","null","1.24&plusmn0.07","One-sided exponential","null","null","null","null","null","null","null"
"FRB130626","2013/06/26 14:55:59.771","parkes","MB20","BPSR","1","7.5","7.5","0","16:27:06","-07:27:48","7.45003","27.4203","0.064","338.281","1352","2","2","0.735","28","66.87","NE2001","952.4&plusmn0.1","1.98","21","0.74","null","null","2.9&plusmn0.7","One-sided exponential","null","null","null","null","null","null","null"
"FRB121102","2012/11/02 06:35:53.244","arecibo","ALFA","Mock spectrometers","4","1.75","1.75","0","05:32:09","33:05:13","174.95","-0.225138","0.0655","322.6","1375","2","4","8.2","30","188","NE2001","557&plusmn2","3","14","0.4","null","null","null","null","null","null","null","8.8&plusmn1.9","null","0.19273","null"
"FRB121029","2012/10/29 16:06:26.000","Pushchino","null","null","null","null","null","null","00:12:00","+42:03:36","115.146","-20.215","100","2.5","111","null","null","null","null","71","NE2001","732&plusmn5","320","7.3","0.34","null","null","null","null","null","null","null","null","null","null","null"
"FRB121002","2012/10/02 13:09:18.436","parkes","MB20","BPSR","12","7.5","7.5","0","18:14:47","-85:11:53","308.22","-26.2647","0.064","338.281","1352","2","2","0.581","28","74.27","NE2001","1629.18&plusmn0.02","5.44","16","0.43","null","null","6.7&plusmn0.7","One-sided exponential","null","null","null","null","null","null","null"
"FRB120127","2012/01/27 08:11:21.725","parkes","MB20","BPSR","4","7.5","7.5","0","23:15:06","-18:25:38","49.2871","-66.2037","0.064","338.281","1352","2","2","0.69","28","31.82","NE2001","553.3&plusmn0.3","1.1","11","0.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB110703","2011/07/03 18:59:40.607","parkes","MB20","BPSR","5","7.5","7.5","0","23:30:51","-02:52:24","80.9978","-59.0191","0.064","338.281","1352","2","2","0.69","28","32.33","NE2001","1103.6&plusmn0.7","4.3","16","0.5","2&plusmn0.006","null","null","null","null","null","null","null","null","null","null"
"FRB110626","2011/06/26 21:33:17.477","parkes","MB20","BPSR","12","7.5","7.5","0","21:03:43","-44:44:19","355.862","-41.7522","0.064","338.281","1352","2","2","0.581","28","47.46","NE2001","723&plusmn0.3","1.4","11","0.4","null","null","null","null","null","null","null","null","null","null","null"
"FRB110523","2011/05/23 15:06:19.700","GBT","800MHz","GUPPI","1","8","8","0","21:45:12","-00:09:37","56.12","-37.82","1.024","200","800","2","8","2","1.16","43.52","NE2001","623.3&plusmn0.06","1.73","42","0.6","1.998&plusmn0.003","-3.6&plusmn1.4","0.71&plusmn0.09","One-sided exponential","null","0.44&plusmn0.03","23&plusmn30","null","-186.1&plusmn1.4","null","null"
"FRB110220","2011/02/20 01:55:48.096","parkes","MB20","BPSR","3","7.5","7.5","0","22:34:38","-12:23:45","50.829","-54.7663","0.064","338.281","1352","2","2","0.69","28","34.77","NE2001","944.38&plusmn0.05","5.6","49","1.3","2.003&plusmn0.006","-4&plusmn0.4","null","null","null","null","null","null","null","null","null"
"FRB110214","2011/02/14 07:14:10.353","parkes","MB20","BPSR","2","7.5","7.5","0","01:21:17","-49:47:11","290.7","-66.6","0.064","338.381","1352","2","2","0.69","28","31.1","NE2001","168.9&plusmn0.5","1.9","13","27","null","null","null","null","null","null","null","null","null","null","null"
"FRB090625","2009/06/25 21:53:51.379","parkes","MB20","BPSR","6","7.5","7.5","0","03:07:47","-29:55:36","226.444","-60.0303","0.064","338.281","1352","2","2","0.69","28","31.69","NE2001","899.55&plusmn0.01","1.92","30","1.14","null","null","3.7&plusmn0.7","One-sided exponential","null","null","null","null","null","null","null"
"FRB010724","2001/07/24 19:50:01.690","parkes","MB20","AFB","6","7.5","7.5","0","01:18:06","-75:12:18","300.653","-41.8051","1","288","1374","2","1","0.69","28","44.58","NE2001","375","5","23","30","null","-4.8&plusmn0.4","24.13&plusmn3","One-sided exponential","null","null","null","null","null","null","null"
"FRB010621","2001/06/21 13:02:11.299","parkes","MB20","AFB","10","7.5","7.5","0","18:52:05","-08:29:35","25.434","-4.00381","0.25","288","1374","2","1","0.581","28","523","NE2001","745&plusmn10","7","16.3","0.41","2.02&plusmn0.01","null","null","NULL","null","null","null","null","null","null","null"
"FRB010312","2001/03/12 11:06:47.980","parkes","MB20","AFB","7","7.5","7.5","0","05:26:54.9","-64:56:19.2","274.72","-33.3","1","288","1374","2","2","0.69","28","51","NE2001","1187&plusmn14","24.3","11","0.25","null","null","null","null","null","null","null","null","null","null","null"
"FRB010305","2001/03/05 12:29:16.020","Parkes","MB20","AFB","3","7.5","7.5","0","04:57:19.5","-52:36:24.668","260.06","-38.34","0.125","288","1374","2","1","null","null","36","YMW16","350&plusmn5","9","10.2","4.2","null","null","null","null","null","null","null","null","null","null","null"
"FRB010125","2001/01/25 00:29:15.790","parkes","MB20","AFB","5","7.5","7.5","0","19:06:53","-40:37:14","356.641","-20.0206","0.125","288","1372.5","2","1","0.69","28","110","NE2001","790&plusmn3","9.4","17","0.3","2&plusmn0.01","-4.2&plusmn1.2","null","NULL","null","null","null","null","null","null","null"
