"frb_name","utc","telescope","rop_receiver","rop_backend","rop_beam","rop_beam_semi_major_axis","rop_beam_semi_minor_axis","rop_beam_rotation_angle","rop_raj","rop_decj","rop_gl","rop_gb","rop_sampling_time","rop_bandwidth","rop_centre_frequency","rop_npol","rop_bits_per_sample","rop_gain","rop_tsys","rop_mw_dm_limit","rop_galactic_electron_model","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_dm_index","rmp_scattering_index","rmp_scattering","rmp_scattering_model","rmp_scattering_timescale","rmp_linear_poln_frac","rmp_circular_poln_frac","rmp_spectral_index","rmp_rm","rmp_redshift_host","rmp_dispersion_smearing"
"FRB181123","2018/11/23 17:49:09.127","FAST","FLAN","null","null","3","3","0","05:06:06.76","18:09:35.7","184.06","-13.47","0.196608","400","1250","2","1","10","23","149.5","YMW16","1812&plusmn2","1.05","0","0.065","null","null","null","null","null","null","null","null","null","null","null"
"FRB181119.J12+65","2018/11/19 16:49:03.191","CHIME/FRB","null","null","null","9","3","90","12:42","65:08","124.5","52","1","400","600","2","null","null","null","34","NE2001","364.2&plusmn1","6.3","0","null","null","null","null","null","null","null","null","null","null","null","null"
"FRB181112","2018/11/12 17:31:15.483","ASKAP","null","null","null","0.026","0.0066","120","21:49:23.630","-52:58:15.39","342.6","-47.7","null","336","1272.5","2","null","null","null","102","Prochaska et al. model (this paper)","589.27&plusmn0.03","2.1","19.3","null","null","null","null","null","null","0.9","0.1","null","10.9&plusmn0.9","0.4755","null"
"FRB181030.J1054+73","2018/10/30 04:13:13.025","CHIME/FRB","null","null","null","26","8","90","10:54","73:44","133.4","40.9","1","400","600","2","null","null","null","40","NE2001","103.5&plusmn0.7","0.59","0","null","null","null","null","null","null","null","null","null","null","null","null"
"FRB181017.J1705+68","2018/10/17 23:26:11.860","CHIME/FRB","null","null","null","12","12","0","17:05","68:17","99.2","34.8","1","400","600","2","null","null","null","43","NE2001","1281.9&plusmn0.4","13.4","0","null","null","null","null","null","null","null","null","null","null","null","null"
"FRB181017","2018/10/17 10:24:37.400","UTMOST","UTMOST","","null","240","0.41","90","22:05:54.82","-08:50:34.22","50.5","-47","0.32768","31.25","835","1","8","1.7","330","38","NE2001","239.97&plusmn0.03","0.32","66","161","null","null","0.158&plusmn0.008","Gaussian convolved with a one-sided exponential at 835 MHz","null","null","null","null","null","null","null"
"FRB181016","2018/10/16 04:16:56.300","UTMOST","UTMOST","","null","270","3.95","90","15:46:20.84","-25:24:32.6","345.51","22.67","0.32768","31.25","835","1","8","1.7","330","90","NE2001","1982.8&plusmn2.8","8.6","17","10.19","null","null","5.7&plusmn0.8","Gaussian convolved with a one-sided exponential at 835 MHz","null","null","null","null","null","null","null"
"FRB180924","2018/09/24 16:23:12.626","ASKAP","","","null","0.002","0.002","0","21:44:25.255","-40:54:00.1","0.742467","-49.414787","1.265","336","1320","2","2","0.05","100","40.5","NE2001","361.42&plusmn0.06","1.3","194","12.3","null","null","null","null","null","null","null","null","14&plusmn1","0.3214","null"
"FRB180916.J0158+65","2018/12/26 03:43:30.107","CHIME/FRB","null","null","null","11","7","90","01:58","65:44","129.7","3.7","1","400","600","2","null","null","null","200","NE2001","348.8&plusmn0.2","0.87","0","null","null","null","null","null","null","1","null","null","-114.6&plusmn0.6","0.0337","null"
"FRB180908.J1232+74","2018/09/08 21:13:01.257","CHIME/FRB","null","null","null","19","17","90","12:32","+74:12","124.7","42.9","0.98304","400","600","2","null","null","null","38","NE2001","195.7&plusmn0.9","1.91","0","0.6","null","null","null","null","null","null","null","null","null","null","null"
