tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20181214D,-9999,-9999,178.6,0.2,-9999,46.7,0.2,-9999,149.07,67.41,17.0,9.0,-9999,-9999,-9999,-9999,18.2,1171.1,0,9.6,0,18.2,28.5,1177.32,0.02,1151.3,1157.5,0.01671,0.018,0.002,0.6,0.3,-9999,9.0,4.0,-9999,0,58466.597873633,5e-09,58466.597520597,8e-09,0.001,0.0003,12.0,3.0,-11.0,3.0,800.2,442.1,700.7,2009951.618,2005481,0.284,0
FRB20181214F,-9999,-9999,252.62,0.05,-9999,32.4,0.2,-9999,54.19,38.53,11.0,7.0,-9999,-9999,-9999,-9999,11,2106.0,0,2.9,0,5.3,20.2,2105.8,0.1,2065.5,2073.2,0.00885,0.0015,0.0003,0.3,0.2,-9999,2.2,0.9,-9999,0,58466.80495253,1e-08,58466.80432109,4e-08,0.0023,0.0006,8.0,3.0,-60.0,10.0,514.1,400.2,425.7,659319.538,659369,0.294,0
FRB20181215A,-9999,-9999,93.4,0.2,-9999,39.34,0.09,-9999,173.73,10.12,13.0,9.0,-9999,-9999,-9999,-9999,9.2,412.5,0,0.6,0,1.1,11.8,412.63,0.02,284.1,235.7,0.00492,<0.0017,-9999,0.3,0.2,-9999,0.7,0.2,-9999,0,58467.360849186,4e-09,58467.360725452,8e-09,0.0013,0.0002,-2.0,2.0,-1.0,3.0,800.2,400.2,400.2,450816.937,451130,0.275,0
FRB20181215B,-9999,-9999,254.8,0.2,-9999,47.56,0.03,-9999,73.62,38.24,10.0,10.0,-9999,-9999,-9999,-9999,24.8,493.3,0,2.0,0,4.0,29.8,494.014,0.002,453.4,461.5,0.00197,<0.00061,-9999,2.0,1.0,-9999,3.0,2.0,-9999,0,58467.8060653883,8e-10,58467.805917251,1e-09,0.00056,3e-05,4.7,0.9,-6.0,1.0,800.2,400.2,590.2,446582.692,439578,0.294,0
FRB20181216A,-9999,-9999,306.3,0.2,-9999,53.5,0.2,-9999,89.41,9.0,20.0,10.0,-9999,-9999,-9999,-9999,11,541.9,0,3.3,0,6.9,15.7,542.738,0.005,396.0,347.5,0.00197,0.0009,0.0002,0.9,0.7,-9999,2.0,1.0,-9999,0,58468.947711497,4e-09,58468.947548749,4e-09,0.0002,0.0001,15.0,4.0,-16.0,4.0,800.2,434.2,634.0,446771.745,446873,0.282,0
FRB20181217A,-9999,-9999,290.5,0.2,-9999,59.8,0.2,-9999,90.99,19.55,20.0,10.0,-9999,-9999,-9999,-9999,12.5,1175.9,0,2.7,0,5.0,15.8,1177.167,0.006,1107.4,1108.4,0.00295,<0.0012,-9999,0.6,0.2,-9999,1.8,0.6,-9999,0,58469.89918234,5e-09,58469.898829349,5e-09,0.00102,9e-05,5.0,2.0,-5.0,2.0,800.2,400.2,663.5,435233.794,434106,0.303,0
FRB20181218A,-9999,-9999,5.1,0.2,-9999,71.35,0.08,-9999,120.42,8.63,30.0,20.0,-9999,38.0,9.0,-9999,18.6,1873.1,10.2,1.2,21.5,2.5,30.8,1874.41,0.03,1727.2,1646.0,0.0059,0.00022,6e-05,0.8,0.6,-9999,2.0,1.0,-9999,0,58470.109566911,3e-09,58470.109004843,9e-09,0.0014,0.0001,19.0,2.0,-84.0,8.0,529.3,400.2,448.4,300374.013,302393,0.341,0
FRB20181218B,-9999,-9999,18.0,0.2,-9999,69.4,0.2,-9999,124.77,6.59,30.0,20.0,-9999,-9999,-9999,-9999,10.9,752.1,0,1.4,0,3.3,14.9,753.4,0.02,583.8,477.1,0.00295,<0.0020,-9999,0.6,0.4,-9999,2.0,1.0,-9999,0,58470.148712504,5e-09,58470.148486585,9e-09,0.0017,0.0002,-3.0,2.0,-2.0,3.0,708.8,400.2,400.2,447417.424,445658,0.284,0
FRB20181218C,-9999,-9999,286.0,0.2,-9999,58.2,0.2,-9999,88.61,21.24,20.0,10.0,-9999,-9999,-9999,-9999,9.2,385.0,0,2.4,0,4.6,13.5,384.2,0.1,319.8,322.7,0.00492,<0.0068,-9999,0.3,0.2,-9999,1.7,0.7,-9999,0,58470.88608078,2e-08,58470.88596558,3e-08,0.0052,0.0008,4.0,2.0,-13.0,4.0,718.5,400.2,472.7,676386.238,674874,0.277,0
FRB20181219B,-9999,-9999,180.8,0.2,-9999,71.6,0.3,-9999,128.31,45.07,40.0,20.0,-9999,30.0,10.0,-9999,23.1,1950.7,3.6,0.4,7.6,0.8,43,1952.166,0.003,1914.9,1923.0,0.00492,0.0053,0.0004,5.0,4.0,-9999,30.0,20.0,-9999,0,58471.088782273,2e-09,58471.088196887,2e-09,0.00057,7e-05,-4.0,2.0,10.0,2.0,800.2,555.5,800.2,783212.817,772153,0.38,0
FRB20181219C,-9999,-9999,17.8,0.2,-9999,14.1,0.2,-9999,130.13,-48.49,13.0,7.0,-9999,-9999,-9999,-9999,18.6,648.6,0,0.3,0,0.5,27.7,647.89,0.01,611.7,620.7,0.00295,0.00053,7e-05,0.21,0.09,-9999,0.6,0.2,-9999,0,58471.140031441,3e-09,58471.139837161,5e-09,0.0013,0.0001,-1.0,0.8,-5.0,2.0,735.5,400.2,400.2,434767.94,432281,0.306,0
FRB20181219A,-9999,FRB20181128A,73.9,0.1,-9999,63.22,0.07,-9999,146.73,12.3,10.0,10.0,A significant fraction of the localization region of the burst is falling between the FWHM of two beams resulting in a large error on the exposure. See Section 2.2.,-9999,-9999,-9999,10.2,449.7,0,3.7,0,9.9,16.3,451.81,0.07,339.4,299.8,0.01769,<0.0068,-9999,0.4,0.3,-9999,5.0,3.0,-9999,0,58471.29492684,1e-08,58471.29479136,3e-08,0.0054,0.0007,10.0,2.0,-18.0,3.0,753.1,400.2,527.9,657677.013,655722,0.298,0
FRB20181220A,-9999,-9999,346.1,0.2,-9999,48.4,0.2,-9999,105.24,-10.73,19.0,8.0,-9999,-9999,-9999,-9999,27.6,208.7,0,1.1,0,2.1,40.1,209.402,0.005,83.6,87.3,0.00295,0.00046,3e-05,1.3,0.8,-9999,3.0,2.0,-9999,0,58472.046663619,3e-09,58472.046600827,3e-09,0.00043,6e-05,-5.3,0.6,-1.0,1.0,596.4,400.2,400.2,434169.841,430457,0.309,0
FRB20181220B,-9999,-9999,277.4,0.2,-9999,84.9,0.3,-9999,117.17,27.5,130.0,70.0,-9999,130.0,70.0,-9999,13.4,257.2,1.9,1.0,4.0,2.1,24.7,257.799,0.003,204.2,207.6,0.00197,<0.00062,-9999,3.0,2.0,-9999,4.0,3.0,-9999,0,58472.35477601,5e-09,58472.354698705,5e-09,0.00056,3e-05,0.5,0.9,-5.0,2.0,800.2,400.2,419.5,408195.586,409178,0.343,0
FRB20181221A,-9999,-9999,230.6,0.2,-9999,25.9,0.2,-9999,39.52,56.34,13.0,8.0,-9999,-9999,-9999,-9999,18.6,313.8,0,4.5,0,8.0,78.8,316.24,0.01,291.8,292.0,0.00492,0.00132,7e-05,1.2,0.5,-9999,6.0,2.0,-9999,0,58473.724019676,2e-09,58473.723924848,4e-09,0.00075,8e-05,62.0,2.0,-128.0,5.0,583.3,446.1,510.1,443691.859,440185,0.293,0
FRB20181221B,-9999,-9999,306.31,0.004,-9999,80.98,0.03,-9999,113.93,23.25,70.0,40.0,-9999,70.0,40.0,-9999,26.7,1392.7,5.6,2.0,11.0,4.0,52.1,1395.021,0.008,1333.1,1333.1,0.00295,<0.0011,-9999,1.0,0.6,-9999,3.0,2.0,-9999,0,58473.941439357,1e-09,58473.941021039,3e-09,0.00104,5e-05,25.0,1.0,-61.0,3.0,597.6,405.4,492.2,433142.381,431066,0.308,0
FRB20181222A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,24,349.4,0,6.9,0,27.5,214.4,348.7365,0.0003,149.8,23.9,0.03539,<0.00039,-9999,5.0,2.0,-9999,50.0,10.0,-9999,0,58474.1662416099,9e-10,58474.1661370362,9e-10,0.00516,7e-05,60.0,2.0,-52.0,2.0,800.2,577.7,713.2,1162519.685,1097419,0.295,0
FRB20181222A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,24,349.4,0,6.9,0,27.5,214.4,348.7365,0.0003,149.8,23.9,0.03539,<0.00039,-9999,5.0,2.0,-9999,50.0,10.0,-9999,1,58474.1662416652,2e-10,58474.1661370914,2e-10,0.000382,6e-06,55.0,2.0,-50.0,2.0,800.2,563.5,699.0,1162519.685,1097419,0.295,0
FRB20181222A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,24,349.4,0,6.9,0,27.5,214.4,348.7365,0.0003,149.8,23.9,0.03539,<0.00039,-9999,5.0,2.0,-9999,50.0,10.0,-9999,2,58474.1662417617,5e-10,58474.166137188,5e-10,0.00172,4e-05,62.0,2.0,-60.0,2.0,800.2,552.4,671.6,1162519.685,1097419,0.295,0
FRB20181222A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,24,349.4,0,6.9,0,27.5,214.4,348.7365,0.0003,149.8,23.9,0.03539,<0.00039,-9999,5.0,2.0,-9999,50.0,10.0,-9999,3,58474.166241871,3e-09,58474.166137297,3e-09,0.0058,0.0003,66.0,5.0,-68.0,5.0,780.2,540.4,649.3,1162519.685,1097419,0.295,0
FRB20181222B,-9999,-9999,90.0,0.2,-9999,38.55,0.08,-9999,173.2,7.45,13.0,9.0,-9999,-9999,-9999,-9999,9.5,619.5,0,1.0,0,2.0,12.7,619.248,0.007,471.0,408.5,0.00197,<0.00074,-9999,0.5,0.2,-9999,0.8,0.5,-9999,0,58474.329597671,2e-09,58474.329411981,3e-09,0.0006,7e-05,0.0,2.0,-5.0,3.0,798.6,400.2,415.1,445367.7,445050,0.285,0
FRB20181222C,-9999,-9999,131.1,0.2,-9999,68.3,0.2,-9999,146.46,35.38,30.0,20.0,-9999,-9999,-9999,-9999,11,1104.8,0,2.2,0,4.3,17.5,1104.89,0.03,1058.5,1065.6,0.00393,<0.0019,-9999,0.8,0.4,-9999,3.0,1.0,-9999,0,58474.450817838,3e-09,58474.45048652,8e-09,0.0015,0.0002,-2.0,1.0,-3.0,3.0,727.4,400.2,400.2,434435.727,434714,0.302,0
FRB20181222D,-9999,-9999,188.2,0.2,-9999,56.16,0.08,-9999,128.25,60.78,20.0,10.0,-9999,-9999,-9999,-9999,10.5,1413.7,0,1.4,0,3.1,20.2,1417.1,0.1,1385.9,1394.5,0.02261,0.002,0.0005,0.2,0.2,-9999,1.2,0.8,-9999,0,58474.6066161,1e-08,58474.60619116,5e-08,0.0038,0.0006,8.0,3.0,-41.0,9.0,561.3,400.2,443.0,865595.39,863353,0.307,0
FRB20181222E,-9999,-9999,50.64,0.04,-9999,87.0,0.3,-9999,124.97,24.72,200.0,100.0,-9999,200.0,100.0,-9999,17.7,328.4,4.3,3.1,8.6,6.4,36.7,327.98,0.005,268.1,268.2,0.00393,0.0008,0.0001,1.1,0.7,-9999,6.0,3.0,-9999,0,58474.718895114,2e-09,58474.718796765,2e-09,0.00025,9e-05,5.0,1.0,-20.0,2.0,639.5,400.2,455.2,1011125.194,1010788,0.351,0
FRB20181222E,-9999,-9999,50.64,0.04,-9999,87.0,0.3,-9999,124.97,24.72,200.0,100.0,-9999,200.0,100.0,-9999,17.7,328.4,4.3,3.1,8.6,6.4,36.7,327.98,0.005,268.1,268.2,0.00393,0.0008,0.0001,1.1,0.7,-9999,6.0,3.0,-9999,1,58474.718895559,4e-09,58474.71879721,4e-09,0.0009,0.0003,10.0,4.0,-24.0,7.0,672.3,400.2,492.8,1011125.194,1010788,0.351,0
FRB20181223A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,31.8,352.6,0,6.9,0,27.5,67.2,349.71,0.008,150.8,24.9,0.00885,<0.0022,-9999,2.0,0.8,-9999,16.0,5.0,-9999,0,58475.160751782,3e-09,58475.160646916,4e-09,0.002,9e-05,33.0,2.0,-33.0,2.0,800.2,502.1,652.9,769995.486,757557,0.392,0
FRB20181223A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,31.8,352.6,0,6.9,0,27.5,67.2,349.71,0.008,150.8,24.9,0.00885,<0.0022,-9999,2.0,0.8,-9999,16.0,5.0,-9999,1,58475.16075189,1e-08,58475.16064702,1e-08,0.005,0.001,21.0,3.0,-25.0,4.0,800.2,449.1,607.8,769995.486,757557,0.392,0
FRB20181223B,-9999,-9999,174.9,0.2,-9999,21.6,0.2,-9999,227.74,72.74,12.0,7.0,-9999,-9999,-9999,-9999,12.4,564.5,0,6.4,0,11.0,21.3,565.66,0.02,540.2,545.7,0.00885,0.003,0.001,0.7,0.3,-9999,4.0,1.0,-9999,0,58475.563193115,9e-09,58475.56302349,1e-08,0.0016,0.0003,33.0,5.0,-41.0,6.0,761.2,473.8,600.6,656809.462,655721,0.298,0
FRB20181223C,-9999,-9999,181.1,0.2,-9999,27.6,0.2,-9999,207.75,79.51,12.0,6.0,-9999,-9999,-9999,-9999,19.5,111.6,0,2.1,0,3.7,28.3,112.512,0.003,92.6,93.4,0.00197,0.00011,2e-05,1.4,0.5,-9999,2.8,0.9,-9999,0,58475.580233175,1e-09,58475.580199437,2e-09,0.00051,4e-05,2.7,0.8,-7.0,1.0,800.2,400.2,479.2,447393.219,446265,0.283,0
FRB20181224A,-9999,-9999,355.11,0.03,-9999,44.56,0.08,-9999,109.84,-16.5,24.0,2.0,-9999,-9999,-9999,-9999,65,308.9,0,1.0,0,2.0,104.1,310.2064,0.0004,225.2,231.9,0.00197,<0.00040,-9999,4.0,2.0,-9999,3.0,2.0,-9999,0,58476.061732617,4e-10,58476.061639597,5e-10,0.000387,5e-06,3.9,0.2,-6.1,0.3,800.2,400.2,549.5,233053.656,219178,0.296,0
FRB20181224B,-9999,-9999,45.4,0.2,-9999,46.1,0.2,-9999,145.22,-11.03,20.0,10.0,-9999,-9999,-9999,-9999,14,779.6,0,2.2,0,4.4,22.4,781.01,0.01,659.7,640.3,0.00885,0.0021,0.0004,0.8,0.5,-9999,3.0,2.0,-9999,0,58476.203368457,4e-09,58476.203134261,5e-09,0.0009,0.0002,-1.8,0.9,-1.0,1.0,800.2,400.2,400.2,434116.583,432889,0.305,0
FRB20181224C,-9999,-9999,115.3,0.2,-9999,60.3,0.2,-9999,156.69,29.4,20.0,10.0,-9999,-9999,-9999,-9999,13.3,608.2,0,6.2,0,11.4,26.9,596.32,0.06,541.0,543.2,0.02949,0.027,0.003,0.5,0.3,-9999,10.0,3.0,-9999,0,58476.40016535,1e-08,58476.39998653,2e-08,0.0024,0.0009,-2.5,0.7,0.0,1.0,800.2,400.2,400.2,2797088.64,2786153,0.312,0
FRB20181224D,-9999,-9999,182.5,0.2,-9999,54.9,0.2,-9999,135.42,61.26,20.0,10.0,-9999,-9999,-9999,-9999,11.2,690.7,0,1.6,0,3.0,12.8,690.2,0.02,658.8,667.9,0.00393,<0.0020,-9999,0.5,0.3,-9999,2.0,1.0,-9999,0,58476.583231799,5e-09,58476.583024833,7e-09,0.0016,0.0002,-3.0,1.0,2.0,3.0,800.2,400.2,400.2,428983.851,427418,0.313,0
FRB20181224E,-9999,-9999,239.32,0.03,-9999,7.3,0.2,-9999,17.52,41.77,15.0,4.0,-9999,-9999,-9999,-9999,32.4,580.7,0,2.9,0,5.5,42.1,581.854,0.004,545.3,549.3,0.00197,<0.0011,-9999,4.0,2.0,-9999,10.0,5.0,-9999,0,58476.739645037,3e-09,58476.73947056,4e-09,0.00106,4e-05,-1.2,0.5,-4.0,1.0,729.5,400.2,400.2,410322.544,404917,0.35,0
FRB20181224E,-9999,-9999,239.32,0.03,-9999,7.3,0.2,-9999,17.52,41.77,15.0,4.0,-9999,-9999,-9999,-9999,32.4,580.7,0,2.9,0,5.5,42.1,581.854,0.004,545.3,549.3,0.00197,<0.0011,-9999,4.0,2.0,-9999,10.0,5.0,-9999,1,58476.739645101,6e-09,58476.739470624,7e-09,0.001,0.0002,-4.0,2.0,4.0,3.0,800.2,400.2,400.2,410322.544,404917,0.35,0
FRB20181225A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,16.2,346.1,0,6.9,0,27.5,31.8,349.62,0.04,150.7,24.8,0.00688,<0.0037,-9999,0.6,0.4,-9999,4.0,2.0,-9999,0,58477.16185105,4e-09,58477.16174621,1e-08,0.0032,0.0002,28.0,3.0,-130.0,10.0,510.8,400.2,446.8,655067.42,648426,0.306,0
FRB20181225B,-9999,-9999,36.8,0.2,-9999,88.2,0.3,-9999,123.74,25.48,400.0,100.0,-9999,400.0,100.0,-9999,19.1,299.2,9.1,6.7,19.0,13.4,27.6,299.287,0.005,241.0,242.3,0.00295,<0.0014,-9999,2.0,1.0,-9999,7.0,4.0,-9999,0,58477.215145579,2e-09,58477.215055833,3e-09,0.0013,7e-05,7.0,1.0,-10.0,1.0,800.2,400.2,560.7,434409.23,431066,0.308,0
FRB20181226C,-9999,-9999,349.1,0.2,-9999,44.9,0.2,-9999,105.75,-14.73,17.0,9.0,-9999,-9999,-9999,-9999,18.8,409.2,0,1.0,0,2.2,25.3,409.018,0.006,315.0,322.4,0.00393,0.002,0.0003,0.9,0.5,-9999,3.0,1.0,-9999,0,58478.043158848,4e-09,58478.043036198,4e-09,0.0006,0.0001,-1.1,0.8,-2.0,1.0,800.2,400.2,400.2,369985.472,367833,0.409,0
FRB20181226A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,16.7,347.8,0,6.9,0,27.5,69,349.011,0.001,150.1,24.2,0.00983,<0.00077,-9999,1.6,0.6,-9999,6.0,1.0,-9999,0,58478.155209527,2e-09,58478.155104871,2e-09,0.00073,2e-05,82.0,4.0,-126.0,5.0,632.7,482.9,552.8,439985.477,434101,0.303,0
FRB20181226A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,16.7,347.8,0,6.9,0,27.5,69,349.011,0.001,150.1,24.2,0.00983,<0.00077,-9999,1.6,0.6,-9999,6.0,1.0,-9999,1,58478.15520957,3e-09,58478.155104914,3e-09,0.0015,0.0001,78.0,9.0,-150.0,20.0,589.6,459.3,520.4,439985.477,434101,0.303,0
FRB20181226D,-9999,-9999,120.2,0.2,-9999,22.16,0.05,-9999,199.59,24.7,12.0,7.0,-9999,-9999,-9999,-9999,24.2,386.6,0,1.5,0,2.8,34.7,385.378,0.003,320.4,306.2,0.00197,<0.00062,-9999,1.9,0.8,-9999,3.0,1.0,-9999,0,58478.403661901,2e-09,58478.403546339,2e-09,0.00057,2e-05,0.4,0.6,-5.0,1.0,800.2,400.2,417.2,445755.474,444442,0.286,0
FRB20181226B,-9999,-9999,182.66,0.04,-9999,12.4,0.2,-9999,267.9,72.47,15.0,5.0,-9999,-9999,-9999,-9999,52.4,287.9,0,14.7,0,25.7,176.6,287.036,0.002,259.3,266.3,0.00197,0.0011,4e-05,9.0,3.0,-9999,50.0,20.0,-9999,0,58478.577032245,2e-09,58478.576946173,2e-09,0.0006,0.0001,4.0,1.0,-14.0,3.0,687.5,400.2,461.1,677496.762,642943,0.312,0
FRB20181226B,-9999,-9999,182.66,0.04,-9999,12.4,0.2,-9999,267.9,72.47,15.0,5.0,-9999,-9999,-9999,-9999,52.4,287.9,0,14.7,0,25.7,176.6,287.036,0.002,259.3,266.3,0.00197,0.0011,4e-05,9.0,3.0,-9999,50.0,20.0,-9999,1,58478.5770323491,7e-10,58478.5769462771,8e-10,0.00087,2e-05,1.0,0.2,-7.0,0.3,764.2,400.2,430.7,677496.762,642943,0.312,0
FRB20181226B,-9999,-9999,182.66,0.04,-9999,12.4,0.2,-9999,267.9,72.47,15.0,5.0,-9999,-9999,-9999,-9999,52.4,287.9,0,14.7,0,25.7,176.6,287.036,0.002,259.3,266.3,0.00197,0.0011,4e-05,9.0,3.0,-9999,50.0,20.0,-9999,2,58478.577032397,2e-09,58478.576946324,2e-09,0.001,8e-05,12.0,2.0,-18.0,2.0,784.9,400.2,549.7,677496.762,642943,0.312,0
FRB20181226E,-9999,-9999,303.6,0.2,-9999,73.6,0.2,-9999,106.6,20.42,40.0,20.0,-9999,43.0,7.0,-9999,16.5,308.9,4.7,0.8,9.3,1.5,20.9,308.76,0.02,239.9,237.5,0.00295,<0.0013,-9999,0.5,0.4,-9999,1.3,0.8,-9999,0,58478.910255335,4e-09,58478.910162748,6e-09,0.00117,8e-05,-6.0,2.0,-3.0,6.0,558.3,400.2,400.2,329480.425,325882,0.477,0
FRB20181227A,-9999,-9999,31.8,0.2,-9999,78.4,0.3,-9999,126.83,16.09,60.0,30.0,-9999,60.0,30.0,-9999,9.2,791.0,12.6,3.3,24.9,6.7,11.1,791.213,0.006,702.2,680.5,0.00197,<0.00092,-9999,0.9,0.6,-9999,1.8,0.9,-9999,0,58479.156044098,7e-09,58479.155806841,8e-09,0.00075,9e-05,0.0,2.0,0.0,2.0,800.2,400.2,656.8,428676.486,429850,0.31,0
FRB20181228A,-9999,-9999,7.3,0.2,-9999,10.2,0.3,-9999,113.91,-52.26,12.0,7.0,-9999,-9999,-9999,-9999,12.6,748.9,0,4.5,0,8.7,18.1,748.679,0.009,714.5,723.1,0.00295,<0.0013,-9999,1.2,0.9,-9999,4.0,2.0,-9999,0,58480.085205187,6e-09,58480.084980685,6e-09,0.00109,9e-05,5.0,2.0,-14.0,3.0,731.4,400.2,484.5,443544.246,443226,0.288,0
FRB20181228B,-9999,-9999,250.4,0.2,-9999,63.9,0.2,-9999,94.64,38.29,30.0,20.0,-9999,-9999,-9999,-9999,15.5,566.1,0,6.9,0,61.0,34.6,568.651,0.002,528.7,535.2,0.00492,0.00116,8e-05,0.4,0.2,-9999,1.7,0.8,-9999,0,58480.755505084,4e-09,58480.755334565,4e-09,<0.00010,-9999,59.0,6.0,-350.0,30.0,471.8,401.5,435.2,427829.591,427417,0.313,0
FRB20181228C,-9999,-9999,265.2,0.2,-9999,54.4,0.2,-9999,82.11,31.87,20.0,10.0,-9999,-9999,-9999,-9999,11.1,509.5,0,0.9,0,1.5,10.3,510.7,0.01,465.1,471.8,0.00295,<0.0011,-9999,0.4,0.2,-9999,0.7,0.2,-9999,0,58480.8030146,5e-09,58480.802861459,6e-09,0.0009,0.0001,-7.0,2.0,7.0,3.0,800.2,400.2,400.2,443579.48,443834,0.287,0
FRB20181229A,-9999,-9999,137.2,0.2,-9999,42.0,0.2,-9999,179.53,42.69,18.0,8.0,-9999,-9999,-9999,-9999,23.6,955.9,0,3.1,0,5.5,31.7,955.574,0.004,912.6,923.4,0.00492,0.0024,0.0002,1.2,0.4,-9999,4.0,1.0,-9999,0,58481.440950501,4e-09,58481.440663958,4e-09,0.00038,9e-05,3.5,0.9,-6.0,1.0,800.2,400.2,538.1,429095.358,426201,0.315,0
FRB20181229B,-9999,-9999,238.4,0.2,-9999,19.8,0.3,-9999,32.97,47.83,12.0,7.0,-9999,-9999,-9999,-9999,11.1,375.3,0,7.1,0,14.6,22.2,389.0,0.1,359.7,361.3,0.02064,0.005,0.001,0.4,0.4,-9999,5.0,3.0,-9999,0,58481.72495344,2e-08,58481.72483678,3e-08,0.0034,0.0007,22.0,4.0,-100.0,10.0,517.5,400.2,445.5,1101381.167,1100473,0.293,0
FRB20181230A,-9999,-9999,346.7,0.2,-9999,83.4,0.3,-9999,119.8,21.14,100.0,50.0,-9999,100.0,50.0,-9999,14.1,763.5,40.3,18.7,82.2,39.1,29.7,769.61,0.02,701.2,696.6,0.03441,0.041,0.005,0.9,0.5,-9999,20.0,10.0,-9999,0,58482.02102424,1e-08,58482.02079346,1e-08,0.0016,0.0004,33.0,6.0,-28.0,5.0,800.2,543.5,724.8,3863851.978,3852569,0.314,0
FRB20181230B,-9999,-9999,20.8,0.2,-9999,79.7,0.3,-9999,124.42,16.92,70.0,40.0,-9999,60.0,30.0,-9999,12.8,1135.5,34.6,10.6,67.9,21.4,17.6,1137.36,0.05,1052.4,1034.9,0.01081,0.004,0.001,0.9,0.5,-9999,10.0,5.0,-9999,0,58482.11078575,2e-08,58482.1104447,2e-08,0.0043,0.0007,1.0,1.0,-4.0,2.0,800.2,400.2,450.2,1090752.42,1091353,0.299,0
FRB20181230C,-9999,-9999,245.8,0.2,-9999,50.5,0.2,-9999,78.21,43.9,20.0,10.0,-9999,-9999,-9999,-9999,14.3,1036.8,0,2.7,0,5.3,16.5,1037.194,0.004,1000.3,1008.1,0.00295,<0.00090,-9999,0.9,0.5,-9999,2.0,1.0,-9999,0,58482.738149496,2e-09,58482.737838479,2e-09,0.00076,7e-05,9.0,3.0,-8.0,3.0,800.2,409.4,699.9,420852.88,423162,0.32,0
FRB20181230D,-9999,-9999,255.3,0.2,-9999,50.5,0.2,-9999,77.36,37.86,20.0,10.0,-9999,-9999,-9999,-9999,13.3,224.8,0,3.0,0,6.1,20,223.967,0.002,183.4,191.0,0.00098,<0.00048,-9999,1.4,0.8,-9999,2.0,1.0,-9999,0,58482.766381189,7e-09,58482.766314029,7e-09,0.00042,3e-05,0.0,1.0,0.0,1.0,800.2,400.2,800.2,222008.93,222522,0.285,0
FRB20181230E,-9999,-9999,113.3,0.2,-9999,86.85,0.09,-9999,126.43,27.65,200.0,100.0,-9999,200.0,100.0,-9999,13.9,1041.7,5.8,4.1,10.5,7.5,20.5,1041.71,0.04,987.2,990.1,0.01081,0.003,0.0006,1.0,1.0,-9999,10.0,6.0,-9999,0,58482.85930689,1e-08,58482.85899452,2e-08,0.0019,0.0005,7.0,2.0,-17.0,3.0,707.6,400.2,488.0,634587.092,634745,0.32,0
