tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20180814A,180814.J0422+73,FRB20180814A,65.5,0.2,-9999,73.6,0.3,-9999,136.46,16.58,40.0,20.0,-9999,44.0,8.0,-9999,11,190.9,21.8,2.5,36.3,4.3,22.1,189.29,0.08,101.5,80.9,0.00786,<0.0031,-9999,0.4,0.3,-9999,3.0,1.0,-9999,0,58344.617939757,7e-09,58344.617883,2e-08,0.0025,0.0003,43.0,6.0,-140.0,20.0,527.0,408.9,464.2,377384.635,376346,0.396,1
FRB20180817A,180817.J1533+42,-9999,233.2,0.05,-9999,42.2,0.2,-9999,68.3,53.98,23.0,3.0,-9999,-9999,-9999,-9999,45.6,1002.8,0,6.2,0,11.1,65.1,1006.771,0.008,979.1,982.0,0.01769,0.011,0.0006,2.0,2.0,-9999,30.0,20.0,-9999,0,58347.07608796,3e-09,58347.075786065,4e-09,0.0019,0.0002,3.4,0.4,-7.5,0.6,800.2,400.2,501.1,1069085.403,1057913,0.434,1
FRB20180904A,-9999,-9999,286.6,0.2,-9999,81.2,0.1,-9999,113.16,26.22,90.0,40.0,-9999,70.0,40.0,-9999,40.8,360.7,1.0,1.8,2.2,3.7,74.6,361.1374,0.0008,305.7,308.4,0.00197,<0.00055,-9999,4.0,2.0,-9999,6.0,3.0,-9999,0,58365.6713215157,5e-10,58365.6712132233,6e-10,0.00053,1e-05,12.1,0.6,-23.0,1.0,712.3,400.2,519.7,155378.697,143482,0.539,0
FRB20180906A,-9999,-9999,141.5,0.3,-9999,14.3,0.3,-9999,217.17,40.61,11.0,7.0,-9999,-9999,-9999,-9999,10.5,383.3,0,3.3,0,6.4,10.9,383.46,0.01,340.0,346.5,0.00098,<0.0017,-9999,2.0,1.0,-9999,3.0,1.0,-9999,0,58367.767931021,7e-09,58367.767816036,8e-09,0.0013,0.0002,0.0,3.0,1.0,3.0,800.2,400.2,800.2,320313.543,304602,0.511,0
FRB20180906B,-9999,-9999,185.8,0.2,-9999,56.4,0.2,-9999,130.87,60.27,20.0,10.0,-9999,-9999,-9999,-9999,10.7,3037.7,0,1.7,0,3.5,17.9,3038.06,0.02,3006.7,3015.4,0.0059,0.005,0.001,0.4,0.2,-9999,1.5,0.9,-9999,0,58367.887947305,9e-09,58367.8870363,1e-08,<0.0029,-9999,3.0,1.0,-11.0,3.0,709.1,400.2,449.3,350696.512,350201,0.438,0
FRB20180907D,-9999,-9999,329.0,0.3,-9999,89.2,0.3,-9999,122.33,26.57,1100.0,300.0,-9999,900.0,400.0,-9999,12.3,1444.4,5.1,3.5,10.2,6.8,13.8,1447.1,0.01,1391.1,1393.4,0.0059,<0.0027,-9999,0.9,0.6,-9999,5.0,2.0,-9999,0,58368.254154255,6e-09,58368.253720321,7e-09,0.0022,0.0002,3.0,3.0,0.0,3.0,800.2,400.2,800.2,339735.417,347770,0.441,0
FRB20180907A,-9999,-9999,320.9,0.2,-9999,29.5,0.2,-9999,77.77,-14.65,12.0,7.0,-9999,-9999,-9999,-9999,15.3,875.1,0,1.3,0,3.4,25.4,877.24,0.01,785.2,801.8,0.0059,0.00026,4e-05,0.9,0.6,-9999,3.0,1.0,-9999,0,58368.261003504,3e-09,58368.260740451,5e-09,0.0009,0.0001,-2.0,1.0,-5.0,2.0,648.6,400.2,400.2,343339.826,342297,0.45,0
FRB20180907B,-9999,-9999,4.5,0.2,-9999,19.2,0.2,-9999,112.1,-43.0,13.0,7.0,-9999,-9999,-9999,-9999,15.4,658.3,0,2.0,0,3.8,19.3,658.19,0.005,620.1,628.3,0.00295,0.0011,0.0002,1.1,0.7,-9999,3.0,2.0,-9999,0,58368.3820747,5e-09,58368.381877332,5e-09,0.0002,0.0002,-1.0,1.0,-5.0,2.0,751.4,400.2,400.2,316182.424,315545,0.493,0
FRB20180907C,-9999,-9999,41.7,0.2,-9999,77.1,0.3,-9999,129.37,15.66,50.0,30,-9999,60.0,20.0,-9999,11.3,638.9,9.1,2.0,17.3,4.0,17.1,638.2,0.003,546.8,522.9,0.00197,0.0008,0.0002,1.1,0.5,-9999,1.5,0.7,-9999,0,58368.491781235,5e-09,58368.491589862,5e-09,<0.00027,-9999,3.0,2.0,-2.0,2.0,800.2,400.2,670.0,340394.587,347161,0.442,0
FRB20180907E,-9999,-9999,167.9,0.2,-9999,47.1,0.2,-9999,160.75,62.04,17.0,9.0,-9999,-9999,-9999,-9999,12.2,381.7,0,3.6,0,8.5,20.3,383.4,0.1,352.9,363.3,0.0118,0.0034,0.0008,0.7,0.5,-9999,7.0,4.0,-9999,0,58368.83417969,2e-08,58368.83406473,5e-08,0.0042,0.0009,-7.0,2.0,-3.0,5.0,536.3,400.2,400.2,597440.649,598265,0.52,0
