,R,E,V
0,1.0,1.0,1.0
1,0.5,0.75,0.0625
2,1.0,0.6666666666666666,0.07407407407407407
3,0.25,0.625,0.078125
4,1.0,0.6,0.08
5,0.6,0.6,0.08
6,0.5,0.5833333333333334,0.08101851851851852
7,0.7142857142857143,0.5714285714285714,0.08163265306122448
8,0.375,0.5625,0.08203125
9,0.7777777777777778,0.5555555555555556,0.0823045267489712
10,0.9090909090909091,0.5454545454545454,0.08264462809917356
11,0.9090909090909091,0.5454545454545454,0.08264462809917356
12,0.16666666666666666,0.5416666666666666,0.08275462962962964
13,0.38461538461538464,0.5384615384615384,0.08284023668639053
14,0.42857142857142855,0.5357142857142857,0.08290816326530613
15,0.4666666666666667,0.5333333333333333,0.08296296296296296
16,0.8125,0.53125,0.0830078125
17,0.5,0.5277777777777778,0.0830761316872428
18,0.5,0.5277777777777778,0.0830761316872428
19,0.15789473684210525,0.5263157894736842,0.08310249307479224
20,1.0,0.5217391304347826,0.0831758034026465
21,1.0,0.5217391304347826,0.0831758034026465
22,1.0,0.5217391304347826,0.0831758034026465
23,1.0,0.5217391304347826,0.0831758034026465
24,0.16666666666666666,0.5208333333333334,0.0831886574074074
25,1.0,0.52,0.0832
26,0.6153846153846154,0.5192307692307693,0.08321005917159764
27,0.4642857142857143,0.5178571428571429,0.08322704081632652
28,0.4642857142857143,0.5178571428571429,0.08322704081632652
29,0.9655172413793104,0.5172413793103449,0.08323424494649227
30,0.5333333333333333,0.5166666666666667,0.08324074074074074
31,0.8064516129032258,0.5161290322580645,0.08324661810613944
32,0.03125,0.515625,0.083251953125
33,0.24242424242424243,0.5151515151515151,0.0832568105295378
34,0.2647058823529412,0.5147058823529411,0.08326124567474048
35,0.9428571428571428,0.5142857142857142,0.08326530612244898
36,0.3142857142857143,0.5142857142857142,0.08326530612244898
37,0.3333333333333333,0.5138888888888888,0.0832690329218107
38,0.5789473684210527,0.5131578947368421,0.08327562326869806
39,0.5789473684210527,0.5131578947368421,0.08327562326869806
40,0.07692307692307693,0.5128205128205128,0.08327854481700635
41,0.95,0.5125,0.08328125
42,1.0,0.5121951219512195,0.08328375966686496
43,0.5238095238095238,0.5119047619047619,0.08328609221466364
44,0.6829268292682927,0.5121951219512195,0.08328375966686496
45,0.6904761904761905,0.5119047619047619,0.08328609221466364
46,0.75,0.5113636363636364,0.08329028925619834
47,0.75,0.5113636363636364,0.08329028925619834
48,0.37777777777777777,0.5111111111111111,0.08329218106995885
49,0.9787234042553191,0.5106382978723404,0.08329560887279312
50,0.9787234042553191,0.5106382978723404,0.08329560887279312
51,0.5116279069767442,0.5116279069767442,0.08328826392644673
52,0.32558139534883723,0.5116279069767442,0.08328826392644673
53,0.6590909090909091,0.5113636363636364,0.08329028925619834
54,0.5555555555555556,0.5111111111111111,0.08329218106995885
55,0.8913043478260869,0.5108695652173914,0.08329395085066163
56,0.5434782608695652,0.5108695652173914,0.08329395085066163
57,0.3404255319148936,0.5106382978723404,0.08329560887279312
58,0.5833333333333334,0.5104166666666666,0.08329716435185185
59,0.04081632653061224,0.5102040816326531,0.08329862557267805
60,0.9807692307692307,0.5096153846153846,0.08330251479289941
61,0.9807692307692307,0.5096153846153846,0.08330251479289941
62,0.9807692307692307,0.5096153846153846,0.08330251479289941
63,0.33962264150943394,0.5094339622641509,0.08330366678533287
64,0.5370370370370371,0.5092592592592593,0.08330475537265661
65,0.8703703703703703,0.5092592592592593,0.08330475537265661
66,0.6181818181818182,0.509090909090909,0.08330578512396694
67,0.34615384615384615,0.5096153846153846,0.08330251479289941
68,0.6981132075471698,0.5094339622641509,0.08330366678533287
69,0.8181818181818182,0.509090909090909,0.08330578512396694
70,0.8181818181818182,0.509090909090909,0.08330578512396694
71,1.0,0.5089285714285714,0.08330676020408163
72,0.5087719298245614,0.5087719298245614,0.08330768441571766
73,0.3275862068965517,0.5086206896551724,0.08330856123662307
74,0.23728813559322035,0.5084745762711864,0.08330939385234128
75,0.4666666666666667,0.5083333333333333,0.08331018518518518
76,0.4482758620689655,0.5086206896551724,0.08330856123662307
77,0.6440677966101694,0.5084745762711864,0.08330939385234128
78,0.8793103448275862,0.5086206896551724,0.08330856123662307
79,0.6440677966101694,0.5084745762711864,0.08330939385234128
80,0.13333333333333333,0.5083333333333333,0.08331018518518518
81,0.4838709677419355,0.5080645161290323,0.08331165452653486
82,0.4838709677419355,0.5080645161290323,0.08331165452653486
83,0.5,0.5078125,0.08331298828125
84,0.5,0.5078125,0.08331298828125
85,0.3384615384615385,0.5076923076923077,0.08331360946745563
86,0.16666666666666666,0.5075757575757576,0.08331420263238445
87,0.6363636363636364,0.5075757575757576,0.08331420263238445
88,0.6268656716417911,0.5074626865671642,0.0833147694364001
89,0.36764705882352944,0.5073529411764706,0.08331531141868512
90,0.8873239436619719,0.5070422535211268,0.0833168022217814
91,0.8873239436619719,0.5070422535211268,0.0833168022217814
92,0.8873239436619719,0.5070422535211268,0.0833168022217814
93,0.3013698630136986,0.5068493150684932,0.0833176956276975
94,0.3013698630136986,0.5068493150684932,0.0833176956276975
95,0.8421052631578947,0.506578947368421,0.08331890581717451
96,0.8421052631578947,0.506578947368421,0.08331890581717451
97,0.8421052631578947,0.506578947368421,0.08331890581717451
98,0.9875,0.50625,0.08332031250000001
