,R,E,V
0,1.0,1.0,1.0
1,0.5,0.75,0.0625
2,1.0,0.6666666666666666,0.07407407407407407
3,0.25,0.625,0.078125
4,1.0,0.6,0.08
5,0.6,0.6,0.08
6,0.5,0.5833333333333334,0.08101851851851852
7,0.7142857142857143,0.5714285714285714,0.08163265306122448
8,0.25,0.5625,0.08203125
9,0.7777777777777778,0.5555555555555556,0.0823045267489712
10,0.9090909090909091,0.5454545454545454,0.08264462809917356
11,0.9090909090909091,0.5454545454545454,0.08264462809917356
12,0.08333333333333333,0.5416666666666666,0.08275462962962964
13,0.38461538461538464,0.5384615384615384,0.08284023668639053
14,0.42857142857142855,0.5357142857142857,0.08290816326530613
15,0.4666666666666667,0.5333333333333333,0.08296296296296296
16,0.75,0.53125,0.0830078125
17,0.5,0.5277777777777778,0.0830761316872428
18,0.5,0.5277777777777778,0.0830761316872428
19,0.10526315789473684,0.5263157894736842,0.08310249307479224
20,1.0,0.5217391304347826,0.0831758034026465
21,1.0,0.5217391304347826,0.0831758034026465
22,1.0,0.5217391304347826,0.0831758034026465
23,1.0,0.5217391304347826,0.0831758034026465
24,0.125,0.5208333333333334,0.0831886574074074
25,1.0,0.52,0.0832
26,0.6153846153846154,0.5192307692307693,0.08321005917159764
27,0.4642857142857143,0.5178571428571429,0.08322704081632652
28,0.4642857142857143,0.5178571428571429,0.08322704081632652
29,0.9655172413793104,0.5172413793103449,0.08323424494649227
30,0.5333333333333333,0.5166666666666667,0.08324074074074074
31,0.8064516129032258,0.5161290322580645,0.08324661810613944
32,0.03125,0.515625,0.083251953125
33,0.18181818181818182,0.5151515151515151,0.0832568105295378
34,0.20588235294117646,0.5147058823529411,0.08326124567474048
35,0.9428571428571428,0.5142857142857142,0.08326530612244898
36,0.2777777777777778,0.5138888888888888,0.0832690329218107
37,0.2972972972972973,0.5135135135135135,0.08327246165084003
38,0.5789473684210527,0.5131578947368421,0.08327562326869806
39,0.5789473684210527,0.5131578947368421,0.08327562326869806
40,0.05128205128205128,0.5128205128205128,0.08327854481700635
41,0.95,0.5125,0.08328125
42,1.0,0.5121951219512195,0.08328375966686496
43,0.47619047619047616,0.5119047619047619,0.08328609221466364
44,0.6976744186046512,0.5116279069767442,0.08328826392644673
45,0.7045454545454546,0.5113636363636364,0.08329028925619834
46,0.717391304347826,0.5108695652173914,0.08329395085066163
47,0.717391304347826,0.5108695652173914,0.08329395085066163
48,0.2978723404255319,0.5106382978723404,0.08329560887279312
49,0.9795918367346939,0.5102040816326531,0.08329862557267805
50,0.9795918367346939,0.5102040816326531,0.08329862557267805
51,0.5416666666666666,0.5104166666666666,0.08329716435185185
52,0.3673469387755102,0.5102040816326531,0.08329862557267805
53,0.66,0.51,0.0833
54,0.5686274509803921,0.5098039215686274,0.08330129437395874
55,0.9019607843137255,0.5098039215686274,0.08330129437395874
56,0.56,0.51,0.0833
57,0.3137254901960784,0.5098039215686274,0.08330129437395874
58,0.5961538461538461,0.5096153846153846,0.08330251479289941
59,0.018867924528301886,0.5094339622641509,0.08330366678533287
60,0.9821428571428571,0.5089285714285714,0.08330676020408163
61,0.9821428571428571,0.5089285714285714,0.08330676020408163
62,0.9821428571428571,0.5089285714285714,0.08330676020408163
63,0.3508771929824561,0.5087719298245614,0.08330768441571766
64,0.5517241379310345,0.5086206896551724,0.08330856123662307
65,0.864406779661017,0.5084745762711864,0.08330939385234128
66,0.6166666666666667,0.5083333333333333,0.08331018518518518
67,0.4098360655737705,0.5081967213114754,0.083310937919914
68,0.7258064516129032,0.5080645161290323,0.08331165452653486
69,0.746031746031746,0.5079365079365079,0.08331233728059124
70,0.746031746031746,0.5079365079365079,0.08331233728059124
71,1.0,0.5079365079365079,0.08331233728059124
72,0.546875,0.5078125,0.08331298828125
73,0.36923076923076925,0.5076923076923077,0.08331360946745563
74,0.25757575757575757,0.5075757575757576,0.08331420263238445
75,0.5223880597014925,0.5074626865671642,0.0833147694364001
76,0.5294117647058824,0.5073529411764706,0.08331531141868512
77,0.6811594202898551,0.5072463768115942,0.08331583000770147
78,0.8985507246376812,0.5072463768115942,0.08331583000770147
79,0.6714285714285714,0.5071428571428571,0.08331632653061224
80,0.18571428571428572,0.5071428571428571,0.08331632653061224
81,0.5138888888888888,0.5069444444444444,0.08331725823045268
82,0.5138888888888888,0.5069444444444444,0.08331725823045268
83,0.527027027027027,0.5067567567567568,0.08331811541271
84,0.527027027027027,0.5067567567567568,0.08331811541271
85,0.38666666666666666,0.5066666666666667,0.08331851851851851
86,0.27631578947368424,0.506578947368421,0.08331890581717451
87,0.6710526315789473,0.506578947368421,0.08331890581717451
88,0.6103896103896104,0.5064935064935064,0.08331927812447293
89,0.39473684210526316,0.506578947368421,0.08331890581717451
90,0.8860759493670886,0.5063291139240507,0.08331998077231213
91,0.8860759493670886,0.5063291139240507,0.08331998077231213
92,0.8860759493670886,0.5063291139240507,0.08331998077231213
93,0.32098765432098764,0.5061728395061729,0.08332063201747701
94,0.32098765432098764,0.5061728395061729,0.08332063201747701
95,0.8452380952380952,0.5059523809523809,0.08332152305366591
96,0.8452380952380952,0.5059523809523809,0.08332152305366591
97,0.8452380952380952,0.5059523809523809,0.08332152305366591
98,0.9772727272727273,0.5056818181818182,0.08332257231404959
99,0.9772727272727273,0.5056818181818182,0.08332257231404959
